MOVIE_TITLE__C,MOVIE_TITLE__R.NAME,COMPANY_NAME__C,COMPANY_NAME__R.NAME
,The Dark Knight,,Warner Bros.
,The Shawshank Redemption,,Castle Rock Entertainment
,The Dark Knight,,Legendary Entertainment
,Batman Begins,,Warner Bros.
,Schindler's List,,Universal Pictures
,The Godfather,,Paramount Pictures
,The Godfather,,Alfran Productions
